Name,Wallet,Roles
Zollz,0x825d18c3ec1D54F61f463F1f97aD070F1A876F5c,Artist
Random koinch ,0x0AA98068781700714DF6B97806780E502c63353b,Artist
mark mcneill ,0xD5b49667f8846C70aa13056b4aDCbf19A68Dca09,Artist
Dano,0xbC1f37C7226fA710D0de26E63f18FF32cB53FA48,Artist
Infphy,0x2740a78dECC708271FED085a57DFc235B050F24f,Artist
Ryan Struck,0x8611abf2e6fc4ba00e9e3d10cdb1e5382cde1f84,Artist
JOM,0xb74072b2ba81158b8753A6FA76473a37e486E92E,Artist
Kaleidoscope,0xa95aD21917aF866923ea0a7BA144d14e056905bd,Artist
Hugo Faz,0xC839de0fEd241607d50aa4107aE582443B906e4c,Artist
Guilherme Pedroso,0xB6079178B306d2454Bad91756143B772AD1f1944,Artist
SureshN,0xFD904360F15eA845097F6f26464F7B93d843Fa3B,Artist
Dino Celotti,0x565465a0E19309ECB839319453E2c83Aa0BeFDF2,Artist
Heather N. Stout,0x1712Bf0c459Dc5C85B78eEe46642d169bE0Ae1Bd,Artist
Bokeh Obscura,0x7124f10B591fCC647Cc4882BD2feCb6c16531509,Artist
Mauro Celotti,0xc5a17f8c74e5bc50f371df97aeac5b132ccd38d8,Artist
Vince Bressan,0x260F47F318a9DB3d3148D5892D1dc95f0c68EbAf,Artist
Diego Marigno,0x08255e706F23aB1F5703Eb717d8CfB5d097aE0F6,Artist
Fariz,0xcCe4eFc6882fF0FC60E70BAA33c3B8dCeEf4E827,Artist
SmokeSalt.eth ,0x5FD6698FE80d221b29c1628a55c81feDb46B5b21,Artist
Mandy Wood,0x47aE34439CF54d2d436AA4E916c8FE4e3F0bC11f,Artist
Julio Leão,0xaded433c89885aD84a8822268deF8c92EbB8b52a,Artist
Kenneth Morton,0xbfB003092E1187C75129E2c42b25871c001Fa1e2,Artist
Emily Baker,0x423B01535A46b437165D0b253Acce8f13Ab953Fa,Artist
Angela Marie,0x8E65f3d120BA31aE6595511F77B8f361410F5c06,Artist
Boripixels,0x2F1A50B42528ceE88bffDE924dC18d1d0D8CC021,Artist
Jota Pé,0x382DB824e89dc8244d5c507Ac484b86E28c0367e,Artist
Sketchlight,0x695Aafa716A307cB72A6DC0Df7B33E6230CA1908,Artist
Christopher James,0x4076EcA4Db9684Fa1D9bfAc231CB516889A33E5A,Artist
Yalda Eskandari,0x884bf8b9c21B66B28679987E2FE1c59B849AB382,Artist
Eman Ali,0x3aE33A926a69aeb1Ca977CEC976b9e53FA84fc25,Artist
vertigo,0x18111df217f0F54EAaD4704399Fa8e7a2Dd94E05,Artist
"Chris, The Red",0x090c28Bd9C5B6f34C11Ed409eD719F1Fbf17a2e8,Artist
Hermes Bezerra,0x87DEE6ac79e734d5e1C21C89C8eAeD8f5885553a,Artist
Karen Caetano,0xd10E4De8bC7ACf771242FAe8Bc491dE9DDC1396A,Artist
Vinas,0x2a7d69b2bD30ac45F405D4b7b04D89cFB1532037,Artist
Mehdi Nazeri,0x533a6C879b6d607b63E94ED6619A687E843b4D1F,Artist
Taesirat Yusuf,0x892EFefaBc660502F2914eaB28cE9A445813EE90,Artist
Aiess ,0x2702d7b843a994a388B830f64f9Ca17118F965C1,Artist
Ariadna Romo,0xEc3e1cd8627f6071bF25a7E75D0f3Fab045F8167,Artist
Estêvão Andrade,0x03e9b685b74d4ebf7531BF6A4cDBd891467e7e8c,Artist
Carlos Maseda,0x90873ACC11d3e0E3Ebca98efd477BF7a79EabC41,Artist
Tom Durantre,0x71522B91Cd3e0C0B75F8ca5A33043BC7aa380F04,Artist
Dream Shifter,0xEeBD7ceD5559360FC6493dd43822Fc13A45A2caD,Artist
"Rami ""Entanese"" El-Sabban",0x9cBFC9Cda35D51f370a6148849b107Aa3cc5f745,Artist
Ali Farouk Saloum,0x497B5AF00112F42f57B2496BDe21123b1D4F85d6,Artist
Isa Rus,0x85cB6ab4b818A4db2E2812e41f4f33a52A662aC6,Artist
Bruna Ferreira Rodrigues,0xc613F84539FD5fdA452f780eBDe9421Fc78DBf2a,Artist
Igor Dias Silva,0x051F7Be713B3f3615D60FD7010a5c4335aC3C94E,Artist
Ray Vazquez,0x0624b2E6fc69D4Bf7ac5052cea71ebCd7C67bFC8,Artist
Chakrit Leelachupong,0x2C11C79192F1C497B6bb817D5aC90085BD519eBf,Artist
Tayyebeh Rasouli,0x199C65F320B7EA641a55161E3489a1F6851DAB04,Artist
Arissu,0x199C65F320B7EA641a55161E3489a1F6851DAB04,Artist
BOSH,Pih8HCpZM3Cpea1SXEFmvI68,Artist
